exp_id,num_clients,distribution,dist_label,dirichlet_alpha,aggregator,regularization,optimizer,div_group,final_global_val,best_global_val,final_local_train,final_local_val,mean_grad_div,final_grad_div,baseline_final_val,fl_vs_baseline,total_min,clients
c32_multi_language_fedadam_none_adamw,32,multi_language,multi_language,0.5,fedadam,none,adamw,"adam(w), none",6.205531311035156,6.205531311035156,6.23237963438034,6.004612458497286,0.1578699627891183,0.22242214158177376,4.183208227157593,2.0223230838775637,13.65830142100652,32 clients
c32_multi_language_fedadam_none_sgd,32,multi_language,multi_language,0.5,fedadam,none,sgd,"sgd, none",5.482923293113709,5.482923293113709,5.486740370690822,5.277806140482426,0.2795593409799039,0.4859139807522297,5.393019437789917,0.08990385532379186,12.720389831066132,32 clients
c32_multi_language_fedavg_fedprox_adam,32,multi_language,multi_language,0.5,fedavg,fedprox,adam,"adam(w), fedprox",5.633579707145691,5.633579707145691,5.809117028415203,5.5126870453357695,0.416659709950909,0.5755318170413375,4.191086149215698,1.4424935579299927,17.356035796801248,32 clients
c32_multi_language_fedavg_fedprox_adamw,32,multi_language,multi_language,0.5,fedavg,fedprox,adamw,"adam(w), fedprox",5.634849166870117,5.634849166870117,5.812352902591229,5.514787843078375,0.41796675357036295,0.5782954189926386,4.182186079025269,1.452663087844848,17.565663250287376,32 clients
c32_multi_language_fedavg_fedprox_sgd,32,multi_language,multi_language,0.5,fedavg,fedprox,sgd,"sgd, fedprox",5.937113475799561,5.937113475799561,6.005396258234978,5.8301129706203945,0.4163369453977793,0.5988394608721137,5.394129896163941,0.5429835796356199,16.899922291437786,32 clients
c32_multi_language_fedavg_none_adam,32,multi_language,multi_language,0.5,fedavg,none,adam,"adam(w), none",5.228815388679505,5.228815388679505,5.341252912580967,5.13063580840826,0.4487001560162753,0.6271360060200095,4.189704275131225,1.0391111135482793,13.464698429902395,32 clients
c32_multi_language_fedavg_none_adamw,32,multi_language,multi_language,0.5,fedavg,none,adamw,"adam(w), none",5.22940764427185,5.22940764427185,5.343457509875297,5.132910896837711,0.41266617048531773,0.5700508626177907,4.183519983291626,1.045887660980224,14.393308778603872,32 clients
c32_multi_language_fedavg_none_sgd,32,multi_language,multi_language,0.5,fedavg,none,sgd,"sgd, none",5.894114661216736,5.894114661216736,5.9567365801334375,5.791752433031798,0.41966965547762813,0.6032644938677549,5.392277669906616,0.5018369913101193,12.588259160518646,32 clients
c32_single_language_fedadam_fedprox_adam,32,single_language,single_language,0.5,fedadam,fedprox,adam,"adam(w), fedprox",5.59506573677063,5.59506573677063,5.2104094323515895,5.108362546563148,0.5777621898800135,0.6861272696405649,4.189812135696411,1.405253601074219,17.84775293270747,32 clients
c32_single_language_fedadam_fedprox_adamw,32,single_language,single_language,0.5,fedadam,fedprox,adamw,"adam(w), fedprox",5.587285161018372,5.587285161018372,5.207733381688595,5.103761970996857,0.5778899798635393,0.6854307306930423,4.182061243057251,1.4052239179611208,18.542152301470438,32 clients
c32_single_language_fedadam_fedprox_sgd,32,single_language,single_language,0.5,fedadam,fedprox,sgd,"sgd, fedprox",5.8313143491745,5.8313143491745,5.420199002921581,5.369621113687754,0.5206740751396864,0.6726765586063266,5.393413162231445,0.4379011869430549,17.021529889106752,32 clients
c32_single_language_fedadam_none_adam,32,single_language,single_language,0.5,fedadam,none,adam,"adam(w), none",6.663299822807312,6.663299822807312,5.967744698822498,5.839347513765096,0.4302368955221027,0.4761330373585224,4.188675785064698,2.4746240377426147,13.741254262129466,32 clients
c32_single_language_fedadam_none_adamw,32,single_language,single_language,0.5,fedadam,none,adamw,"adam(w), none",6.673132681846619,6.673132681846619,5.973020988404751,5.84478168413043,0.41817637514323,0.4657124802470207,4.1800370693206785,2.4930956125259405,14.189048441251119,32 clients
c32_single_language_fedadam_none_sgd,32,single_language,single_language,0.5,fedadam,none,sgd,"sgd, none",5.785140419006348,5.785140419006348,5.394094679951668,5.353319539874793,0.5263274167198688,0.6775258416309953,5.392410707473755,0.39272971153259295,13.44493509531021,32 clients
c32_single_language_fedavg_fedprox_adam,32,single_language,single_language,0.5,fedavg,fedprox,adam,"adam(w), fedprox",6.262848615646362,6.262848615646362,5.859588105082512,5.679479644447565,0.5530840655788779,0.6431087534874678,4.189045572280884,2.073803043365478,18.079585635662077,32 clients
c32_single_language_fedavg_fedprox_adamw,32,single_language,single_language,0.5,fedavg,fedprox,adamw,"adam(w), fedprox",6.265168523788452,6.265168523788452,5.86351958066225,5.682060615718365,0.5540294440463185,0.6443896517157555,4.183203649520874,2.0819648742675776,17.8769278049469,32 clients
c32_single_language_fedavg_fedprox_sgd,32,single_language,single_language,0.5,fedavg,fedprox,sgd,"sgd, fedprox",6.354886698722839,6.354886698722839,5.963125911653042,5.899543185532093,0.5939545066095888,0.6853190110996366,5.394980478286743,0.9599062204360962,17.279056759675345,32 clients
c32_single_language_fedavg_none_adam,32,single_language,single_language,0.5,fedavg,none,adam,"adam(w), none",6.110881185531616,6.110881185531616,5.403452486097812,5.291350441426039,0.5053383654914796,0.5997462328523397,4.189898157119751,1.9209830284118645,13.309932140509288,32 clients
c32_single_language_fedavg_none_adamw,32,single_language,single_language,0.5,fedavg,none,adamw,"adam(w), none",6.111587285995483,6.111587285995483,5.403934542536735,5.291641346365214,0.48314545322209596,0.5693119950592518,4.184651327133179,1.9269359588623045,13.59629285732905,32 clients
c32_single_language_fedavg_none_sgd,32,single_language,single_language,0.5,fedavg,none,sgd,"sgd, none",6.313726806640625,6.313726806640625,5.914481281936169,5.862210692465306,0.5964890586212277,0.6887945421040058,5.3919719696044925,0.9217548370361328,12.770754806200664,32 clients
c4_dirichlet0.1_fedadam_fedprox_adam,4,dirichlet,dirichlet α=0.1,0.1,fedadam,fedprox,adam,"adam(w), fedprox",4.870304203033447,4.870304203033447,4.8726784610748295,4.784425389766692,0.3550895906984806,0.4171266108751297,4.18907675743103,0.681227445602417,7.038302536805471,4 clients
c4_dirichlet0.1_fedadam_fedprox_adamw,4,dirichlet,dirichlet α=0.1,0.1,fedadam,fedprox,adamw,"adam(w), fedprox",4.852621459960938,4.852621459960938,4.857384378910065,4.766659998893738,0.35566422194242475,0.41660334169864655,4.181029224395752,0.6715922355651855,7.005990823109944,4 clients
c4_dirichlet0.1_fedadam_fedprox_sgd,4,dirichlet,dirichlet α=0.1,0.1,fedadam,fedprox,sgd,"sgd, fedprox",5.491913604736328,5.491913604736328,5.438832178115844,5.402849942445755,0.31104665249586105,0.3668408691883087,5.394822692871093,0.09709091186523455,7.070174765586853,4 clients
c4_dirichlet0.1_fedadam_none_adam,4,dirichlet,dirichlet α=0.1,0.1,fedadam,none,adam,"adam(w), none",4.9643974781036375,4.9643974781036375,4.850901608467102,4.78986833691597,0.32418505623936655,0.37793944776058197,4.190570259094239,0.7738272190093989,6.6486030459403995,4 clients
c4_dirichlet0.1_fedadam_none_adamw,4,dirichlet,dirichlet α=0.1,0.1,fedadam,none,adamw,"adam(w), none",4.970063996315003,4.970063996315003,4.852756280899048,4.788541477918625,0.3120504759252071,0.3617318570613861,4.182506847381592,0.787557148933411,6.813481819629669,4 clients
c4_dirichlet0.1_fedadam_none_sgd,4,dirichlet,dirichlet α=0.1,0.1,fedadam,none,sgd,"sgd, none",5.471753835678101,5.471753835678101,5.422558410167694,5.388664209842682,0.3086210019886494,0.3690846115350723,5.391886234283447,0.07986760139465332,6.683455483118693,4 clients
c4_dirichlet0.1_fedavg_fedprox_adam,4,dirichlet,dirichlet α=0.1,0.1,fedavg,fedprox,adam,"adam(w), fedprox",5.378054571151734,5.378054571151734,5.361669986248016,5.1815330505371096,0.3885688230395317,0.448894239962101,4.1913434028625485,1.186711168289185,7.080898098150889,4 clients
c4_dirichlet0.1_fedavg_fedprox_adamw,4,dirichlet,dirichlet α=0.1,0.1,fedavg,fedprox,adamw,"adam(w), fedprox",5.383068871498108,5.383068871498108,5.369492380619049,5.181880927085876,0.388661415502429,0.4485076665878296,4.18369345664978,1.199375414848328,6.967968308925629,4 clients
c4_dirichlet0.1_fedavg_fedprox_sgd,4,dirichlet,dirichlet α=0.1,0.1,fedavg,fedprox,sgd,"sgd, fedprox",5.6964335441589355,5.6964335441589355,5.643003513813019,5.571306067705154,0.3774736821651459,0.4431135803461075,5.393600749969482,0.3028327941894533,6.978790112336477,4 clients
c4_dirichlet0.1_fedavg_none_adam,4,dirichlet,dirichlet α=0.1,0.1,fedavg,none,adam,"adam(w), none",4.611700201034546,4.611700201034546,4.538932707309723,4.450002813339234,0.3784336313605309,0.4471580535173416,4.189922571182251,0.4217776298522953,6.668800290425619,4 clients
c4_dirichlet0.1_fedavg_none_adamw,4,dirichlet,dirichlet α=0.1,0.1,fedavg,none,adamw,"adam(w), none",4.606827592849731,4.606827592849731,4.536239733695984,4.445747953653335,0.35892749205231667,0.420415535569191,4.184026288986206,0.4228013038635252,6.663371527194977,4 clients
c4_dirichlet0.1_fedavg_none_sgd,4,dirichlet,dirichlet α=0.1,0.1,fedavg,none,sgd,"sgd, none",5.641009831428528,5.641009831428528,5.591678364276886,5.524481636285782,0.3786412704735994,0.444164976477623,5.393654441833496,0.24735538959503245,6.566805028915406,4 clients
c4_dirichlet0.5_fedadam_fedprox_adam,4,dirichlet,dirichlet α=0.5,0.5,fedadam,fedprox,adam,"adam(w), fedprox",4.888089370727539,4.888089370727539,4.92034833431244,4.92179816365242,0.24827324971556664,0.3354918211698532,4.191574764251709,0.6965146064758301,6.974230611324311,4 clients
c4_dirichlet0.5_fedadam_fedprox_adamw,4,dirichlet,dirichlet α=0.5,0.5,fedadam,fedprox,adamw,"adam(w), fedprox",4.855243444442749,4.855243444442749,4.88860464811325,4.887987804412842,0.2499225601553917,0.3377108722925186,4.179744386672974,0.675499057769775,7.127050971984863,4 clients
c4_dirichlet0.5_fedadam_fedprox_sgd,4,dirichlet,dirichlet α=0.5,0.5,fedadam,fedprox,sgd,"sgd, fedprox",5.5136483669281,5.5136483669281,5.501411201953887,5.53290656208992,0.16480658948421478,0.21130909025669098,5.392103624343872,0.12154474258422798,7.137763814131419,4 clients
c4_dirichlet0.5_fedadam_none_adam,4,dirichlet,dirichlet α=0.5,0.5,fedadam,none,adam,"adam(w), none",4.9664732933044435,4.9664732933044435,4.94187953710556,4.97511003613472,0.2011159397661686,0.27003613114356995,4.189948034286499,0.7765252590179443,6.795310318470001,4 clients
c4_dirichlet0.5_fedadam_none_adamw,4,dirichlet,dirichlet α=0.5,0.5,fedadam,none,adamw,"adam(w), none",4.977010726928711,4.977010726928711,4.950651056766509,4.981185841560364,0.19265725687146187,0.2564510405063629,4.182255983352661,0.7947547435760498,6.776857300599416,4 clients
c4_dirichlet0.5_fedadam_none_sgd,4,dirichlet,dirichlet α=0.5,0.5,fedadam,none,sgd,"sgd, none",5.4973811388015745,5.4973811388015745,5.4900901627540595,5.522152239084243,0.16130392923951148,0.20935717225074768,5.393927192687988,0.1034539461135866,6.801442873477936,4 clients
c4_dirichlet0.5_fedavg_fedprox_adam,4,dirichlet,dirichlet α=0.5,0.5,fedavg,fedprox,adam,"adam(w), fedprox",5.193339252471924,5.193339252471924,5.312347657680511,5.24774284362793,0.2697599895298481,0.3560611456632614,4.1892557621002195,1.0040834903717046,6.898798366387685,4 clients
c4_dirichlet0.5_fedavg_fedprox_adamw,4,dirichlet,dirichlet α=0.5,0.5,fedavg,fedprox,adamw,"adam(w), fedprox",5.18934953212738,5.18934953212738,5.306078450679779,5.244493991136551,0.2709315061569214,0.3598501831293106,4.18076457977295,1.0085849523544308,6.995519705613455,4 clients
c4_dirichlet0.5_fedavg_fedprox_sgd,4,dirichlet,dirichlet α=0.5,0.5,fedavg,fedprox,sgd,"sgd, fedprox",5.5926511764526365,5.5926511764526365,5.638540437221527,5.672324025630951,0.2516975119709969,0.3439147472381592,5.390234851837159,0.20241632461547798,6.843250385920206,4 clients
c4_dirichlet0.5_fedavg_none_adam,4,dirichlet,dirichlet α=0.5,0.5,fedavg,none,adam,"adam(w), none",4.4693327188491825,4.4693327188491825,4.517238626480102,4.558122688531876,0.29256537854671477,0.3963167518377304,4.190018796920777,0.27931392192840576,6.626203227043152,4 clients
c4_dirichlet0.5_fedavg_none_adamw,4,dirichlet,dirichlet α=0.5,0.5,fedavg,none,adamw,"adam(w), none",4.460881328582763,4.460881328582763,4.509622204303741,4.55057812333107,0.2751326136291027,0.36999957263469696,4.183452701568603,0.27742862701416016,6.776933312416077,4 clients
c4_dirichlet0.5_fedavg_none_sgd,4,dirichlet,dirichlet α=0.5,0.5,fedavg,none,sgd,"sgd, none",5.545521354675293,5.545521354675293,5.589601075649262,5.63045352101326,0.2531493350863457,0.3466772735118866,5.3904918193817135,0.1550295352935791,6.629816885789236,4 clients
c4_dirichlet2.0_fedadam_fedprox_adam,4,dirichlet,dirichlet α=2.0,2.0,fedadam,fedprox,adam,"adam(w), fedprox",4.922659111022949,4.922659111022949,4.950244586467743,4.9253483593463905,0.18421096950769425,0.30488039553165436,4.189278888702392,0.733380222320557,6.820454847812653,4 clients
c4_dirichlet2.0_fedadam_fedprox_adamw,4,dirichlet,dirichlet α=2.0,2.0,fedadam,fedprox,adamw,"adam(w), fedprox",4.919468569755554,4.919468569755554,4.946808798313141,4.919890052080154,0.18193343579769133,0.3014417141675949,4.1817652702331545,0.7377032995223995,6.876092624664307,4 clients
c4_dirichlet2.0_fedadam_fedprox_sgd,4,dirichlet,dirichlet α=2.0,2.0,fedadam,fedprox,sgd,"sgd, fedprox",5.518835735321045,5.518835735321045,5.517396235466003,5.517095893621445,0.06835620179772377,0.12880796194076538,5.393012762069702,0.12582297325134295,8.256814130147298,4 clients
c4_dirichlet2.0_fedadam_none_adam,4,dirichlet,dirichlet α=2.0,2.0,fedadam,none,adam,"adam(w), none",5.2657554864883425,5.2657554864883425,5.220519595146179,5.18817076086998,0.10845804661512375,0.16815519332885742,4.18931827545166,1.0764372110366827,6.643882024288177,4 clients
c4_dirichlet2.0_fedadam_none_adamw,4,dirichlet,dirichlet α=2.0,2.0,fedadam,none,adamw,"adam(w), none",5.3312228441238405,5.3312228441238405,5.289748637676239,5.2553567588329315,0.10407463982701301,0.15790249407291412,4.183559370040894,1.1476634740829468,6.756233926614126,4 clients
c4_dirichlet2.0_fedadam_none_sgd,4,dirichlet,dirichlet α=2.0,2.0,fedadam,none,sgd,"sgd, none",5.49812126159668,5.49812126159668,5.495260787010193,5.496392029523849,0.06773883029818535,0.12789097428321838,5.392455148696899,0.10566611289978045,6.483196985721588,4 clients
c4_dirichlet2.0_fedavg_fedprox_adam,4,dirichlet,dirichlet α=2.0,2.0,fedavg,fedprox,adam,"adam(w), fedprox",5.172534704208374,5.172534704208374,5.282693023681641,5.20311176776886,0.20110938474535942,0.3270694315433502,4.189304399490356,0.9832303047180178,6.761473309993744,4 clients
c4_dirichlet2.0_fedavg_fedprox_adamw,4,dirichlet,dirichlet α=2.0,2.0,fedavg,fedprox,adamw,"adam(w), fedprox",5.165747022628784,5.165747022628784,5.282424588203431,5.198131108283997,0.20356489717960358,0.3288547247648239,4.180057382583618,0.985689640045166,6.780720730622609,4 clients
